category,size,weight
5 Pack Interlock Joggers,9-12M,515
5 Pack Interlock Joggers,12-18M,600
5 Pack Interlock Joggers,18-24M,650
5 Pack Interlock Joggers,2-3Y,725
5 Pack Interlock Joggers,3-4Y,785
5 Pack Interlock Joggers,4-5Y,860
5 Pack Interlock Joggers,5-6Y,930
5 Pack Interlock Joggers,6-7Y,1030
5 Pack Interlock Joggers,7-8Y,1110
5 Pack Interlock Joggers,8-9Y,1210
5 Pack Interlock Joggers,9-10Y,1275
5 Pack Muslin Jhabla,0-3M,135
5 Pack Muslin Jhabla,3-6M,150
5 Pack Muslin Swaddle,Standard,650
5 Pack Sweatshirts,3-6M,525
5 Pack Sweatshirts,6-9M,555
5 Pack Sweatshirts,9-12M,635
5 Pack Sweatshirts,12-18M,665
5 Pack Sweatshirts,18-24M,745
5 Pack Sweatshirts,2-3Y,820
5 Pack Sweatshirts,3-4Y,865
5 Pack Sweatshirts,4-5Y,955
5 Pack Sweatshirts,5-6Y,1005
5 Pack Sweatshirts,6-7Y,1085
5 Pack Sweatshirts,7-8Y,1160
5 Pack T-Shirt,0-3M,220
5 Pack T-Shirt,3-6M,235
5 Pack T-Shirt,6-9M,260
5 Pack T-Shirt,9-12M,280
5 Pack T-Shirt,12-18M,300
5 Pack T-Shirt,18-24M,325
5 Pack T-Shirt,2-3Y,345
5 Pack T-Shirt,3-4Y,365
5 Pack T-Shirt,4-5Y,385
5 Pack T-Shirt,5-6Y,405
5 Pack T-Shirt,6-7Y,485
5 Pack T-Shirt,7-8Y,530
5 Pack T-Shirt,8-9Y,620
5 Pack T-Shirt,9-10Y,665
6 Pack Cotton Bib,Standard,150
6 Pack Full Sleeves T-Shirt & Pant,0-3M,276
6 Pack Full Sleeves T-Shirt & Pant,3-6M,306
6 Pack Full Sleeves T-Shirt & Pant,6-9M,330
6 Pack Full Sleeves T-Shirt & Pant,9-12M,366
6 Pack Full Sleeves T-Shirt & Pant,12-18M,396
6 Pack Full Sleeves T-Shirt & Pant,18-24M,438
6 Pack Full Sleeves T-Shirt & Pant,2-3Y,480
6 Pack Full Sleeves T-Shirt & Pant,3-4Y,528
6 Pack Full Sleeves T-Shirt & Pant,4-5Y,549
6 Pack Full Sleeves T-Shirt & Pant,5-6Y,684
6 Pack Full Sleeves T-Shirt & Pant,6-7Y,750
6 Pack Full Sleeves T-Shirt & Pant,7-8Y,810
6 Pack Muslin Jhabla,0-3M,162
6 Pack Muslin Jhabla,3-6M,180
6 Pack Muslin Langoti,Standard,165
6 Pack Muslin Napkin,Standard,48
6 Pack Muslin Swaddle,Standard,780
6 Pack Muslin Wash Cloth,Standard,48
6 Pack Sweatshirt & Joggers,3-6M,576
6 Pack Sweatshirt & Joggers,6-9M,621
6 Pack Sweatshirt & Joggers,9-12M,720
6 Pack Sweatshirt & Joggers,12-18M,774
6 Pack Sweatshirt & Joggers,18-24M,885
6 Pack Sweatshirt & Joggers,2-3Y,990
6 Pack Sweatshirt & Joggers,3-4Y,1068
6 Pack Sweatshirt & Joggers,4-5Y,1197
6 Pack Sweatshirt & Joggers,5-6Y,1266
6 Pack Sweatshirt & Joggers,6-7Y,1377
6 Pack Sweatshirt & Joggers,7-8Y,1473
6 Pack T-Shirt & Pant,0-3M,258
6 Pack T-Shirt & Pant,3-6M,279
6 Pack T-Shirt & Pant,6-9M,297
6 Pack T-Shirt & Pant,9-12M,336
6 Pack T-Shirt & Pant,12-18M,366
6 Pack T-Shirt & Pant,18-24M,408
6 Pack T-Shirt & Pant,2-3Y,441
6 Pack T-Shirt & Pant,3-4Y,480
6 Pack T-Shirt & Pant,4-5Y,504
6 Pack T-Shirt & Pant,5-6Y,558
6 Pack T-Shirt & Short,0-3M,234
6 Pack T-Shirt & Short,3-6M,246
6 Pack T-Shirt & Short,6-9M,270
6 Pack T-Shirt & Short,9-12M,294
6 Pack T-Shirt & Short,12-18M,315
6 Pack T-Shirt & Short,18-24M,342
6 Pack T-Shirt & Short,2-3Y,366
6 Pack T-Shirt & Short,3-4Y,393
6 Pack T-Shirt & Short,4-5Y,417
6 Pack T-Shirt & Short,5-6Y,444
8 Pack Cotton Joggers,9-12M,544
8 Pack Cotton Joggers,12-18M,632
8 Pack Cotton Joggers,18-24M,696
8 Pack Cotton Joggers,2-3Y,720
8 Pack Cotton Joggers,3-4Y,824
8 Pack Cotton Joggers,4-5Y,936
8 Pack Cotton Joggers,5-6Y,1000
8 Pack Cotton Joggers,6-7Y,1152
8 Pack Cotton Joggers,7-8Y,1256
8 Pack Cotton Joggers,8-9Y,1344
8 Pack Cotton Joggers,9-10Y,1440
8 Pack FS T-Shirt,0-3M,416
8 Pack FS T-Shirt,3-6M,464
8 Pack FS T-Shirt,6-9M,512
8 Pack FS T-Shirt,9-12M,560
8 Pack FS T-Shirt,12-18M,608
8 Pack FS T-Shirt,18-24M,656
8 Pack FS T-Shirt,2-3Y,720
8 Pack FS T-Shirt,3-4Y,776
8 Pack FS T-Shirt,4-5Y,816
8 Pack FS T-Shirt,5-6Y,872
8 Pack FS T-Shirt,6-7Y,952
8 Pack FS T-Shirt,7-8Y,1064
8 Pack Full Sleeves T-Shirt & Pant,0-3M,368
8 Pack Full Sleeves T-Shirt & Pant,3-6M,408
8 Pack Full Sleeves T-Shirt & Pant,6-9M,440
8 Pack Full Sleeves T-Shirt & Pant,9-12M,488
8 Pack Full Sleeves T-Shirt & Pant,12-18M,528
8 Pack Full Sleeves T-Shirt & Pant,18-24M,584
8 Pack Full Sleeves T-Shirt & Pant,2-3Y,640
8 Pack Full Sleeves T-Shirt & Pant,3-4Y,704
8 Pack Full Sleeves T-Shirt & Pant,4-5Y,732
8 Pack Full Sleeves T-Shirt & Pant,5-6Y,912
8 Pack Full Sleeves T-Shirt & Pant,6-7Y,1000
8 Pack Full Sleeves T-Shirt & Pant,7-8Y,1080
8 Pack T-Shirt,0-3M,352
8 Pack T-Shirt,3-6M,376
8 Pack T-Shirt,6-9M,416
8 Pack T-Shirt,9-12M,448
8 Pack T-Shirt,12-18M,480
8 Pack T-Shirt,18-24M,520
8 Pack T-Shirt,2-3Y,552
8 Pack T-Shirt,3-4Y,584
8 Pack T-Shirt,4-5Y,616
8 Pack T-Shirt,5-6Y,648
8 Pack T-Shirt,6-7Y,776
8 Pack T-Shirt,7-8Y,848
8 Pack T-Shirt,8-9Y,992
8 Pack T-Shirt,9-10Y,1064
8 Pack T-Shirt & Pant,0-3M,344
8 Pack T-Shirt & Pant,3-6M,372
8 Pack T-Shirt & Pant,6-9M,396
8 Pack T-Shirt & Pant,9-12M,448
8 Pack T-Shirt & Pant,12-18M,488
8 Pack T-Shirt & Pant,18-24M,544
8 Pack T-Shirt & Pant,2-3Y,588
8 Pack T-Shirt & Pant,3-4Y,640
8 Pack T-Shirt & Pant,4-5Y,672
8 Pack T-Shirt & Pant,5-6Y,744
8 Pack T-Shirt & Short,0-3M,312
8 Pack T-Shirt & Short,3-6M,328
8 Pack T-Shirt & Short,6-9M,360
8 Pack T-Shirt & Short,9-12M,392
8 Pack T-Shirt & Short,12-18M,420
8 Pack T-Shirt & Short,18-24M,456
8 Pack T-Shirt & Short,2-3Y,488
8 Pack T-Shirt & Short,3-4Y,524
8 Pack T-Shirt & Short,4-5Y,556
8 Pack T-Shirt & Short,5-6Y,592
Bodysuit,0-3M,51
Bodysuit,3-6M,54
Bodysuit,6-9M,61
Bodysuit,9-12M,67
Cotton Joggers,9-12M,68
Cotton Joggers,12-18M,79
Cotton Joggers,18-24M,87
Cotton Joggers,2-3Y,90
Cotton Joggers,3-4Y,103
Cotton Joggers,4-5Y,117
Cotton Joggers,5-6Y,125
Cotton Joggers,6-7Y,144
Cotton Joggers,7-8Y,157
Cotton Joggers,8-9Y,168
Cotton Joggers,9-10Y,180
Cotton Shorts,9-12M,57
Cotton Shorts,12-18M,70
Cotton Shorts,18-24M,65
Cotton Shorts,2-3Y,76
Cotton Shorts,3-4Y,76
Cotton Shorts,4-5Y,83
Cotton Shorts,5-6Y,90
Cotton Shorts,6-7Y,90
Cotton Shorts,7-8Y,91
Cotton Shorts,8-9Y,101
Cotton Shorts,9-10Y,108
Dress,12-18M,116
Dress,18-24M,122
Dress,2-3Y,135
Dress,3-4Y,150
Dress,4-5Y,159
FS T-Shirt & Pant,0-3M,92
FS T-Shirt & Pant,3-6M,102
FS T-Shirt & Pant,6-9M,110
FS T-Shirt & Pant,9-12M,122
FS T-Shirt & Pant,12-18M,132
FS T-Shirt & Pant,18-24M,146
FS T-Shirt & Pant,2-3Y,160
FS T-Shirt & Pant,3-4Y,176
FS T-Shirt & Pant,4-5Y,183
FS T-Shirt & Pant,5-6Y,228
FS T-Shirt & Pant,6-7Y,250
FS T-Shirt & Pant,7-8Y,270
Full Sleeves Bodysuit,0-3M,60
Full Sleeves Bodysuit,3-6M,62
Full Sleeves Bodysuit,6-9M,67
Full Sleeves Bodysuit,9-12M,73
Full Sleeves Bodysuit,12-18M,79
Full Sleeves T-Shirt,0-3M,52
Full Sleeves T-Shirt,3-6M,58
Full Sleeves T-Shirt,6-9M,64
Full Sleeves T-Shirt,9-12M,70
Full Sleeves T-Shirt,12-18M,76
Full Sleeves T-Shirt,18-24M,82
Full Sleeves T-Shirt,2-3Y,90
Full Sleeves T-Shirt,3-4Y,97
Full Sleeves T-Shirt,4-5Y,102
Full Sleeves T-Shirt,5-6Y,109
Full Sleeves T-Shirt,6-7Y,119
Full Sleeves T-Shirt,7-8Y,133
Full Sleeves T-Shirt & Pant,0-3M,92
Full Sleeves T-Shirt & Pant,3-6M,102
Full Sleeves T-Shirt & Pant,6-9M,110
Full Sleeves T-Shirt & Pant,9-12M,122
Full Sleeves T-Shirt & Pant,12-18M,132
Full Sleeves T-Shirt & Pant,18-24M,146
Full Sleeves T-Shirt & Pant,2-3Y,160
Full Sleeves T-Shirt & Pant,3-4Y,176
Full Sleeves T-Shirt & Pant,4-5Y,183
Full Sleeves T-Shirt & Pant,5-6Y,228
Full Sleeves T-Shirt & Pant,6-7Y,250
Full Sleeves T-Shirt & Pant,7-8Y,270
Hoodie,12-18M,270
Hoodie,18-24M,281
Hoodie,2-3Y,305
Hoodie,3-4Y,329
Hoodie,4-5Y,362
Hoodie,5-6Y,386
Hoodie,6-7Y,415
Hoodie,7-8Y,432
Hoodie & Winter Jogger,12-18M,395
Hoodie & Winter Jogger,18-24M,427
Hoodie & Winter Jogger,2-3Y,471
Hoodie & Winter Jogger,3-4Y,512
Hoodie & Winter Jogger,4-5Y,570
Hoodie & Winter Jogger,5-6Y,607
Hoodie & Winter Jogger,6-7Y,657
Hoodie & Winter Jogger,7-8Y,691
Interlock Joggers,9-12M,103
Interlock Joggers,12-18M,120
Interlock Joggers,18-24M,130
Interlock Joggers,2-3Y,145
Interlock Joggers,3-4Y,157
Interlock Joggers,4-5Y,172
Interlock Joggers,5-6Y,186
Interlock Joggers,6-7Y,206
Interlock Joggers,7-8Y,222
Interlock Joggers,8-9Y,242
Interlock Joggers,9-10Y,255
Jogger & 3 T-Shirts,9-12M,236
Jogger & 3 T-Shirts,12-18M,259
Jogger & 3 T-Shirts,18-24M,282
Jogger & 3 T-Shirts,2-3Y,297
Jogger & 3 T-Shirts,3-4Y,322
Jogger & 3 T-Shirts,4-5Y,348
Jogger & 3 T-Shirts,5-6Y,368
Jogger & 3 T-Shirts,6-7Y,435
Jogger & 3 T-Shirts,7-8Y,475
Jogger & 3 T-Shirts,8-9Y,540
Jogger & 3 T-Shirts,9-10Y,579
Joggers,3-6M,87
Joggers,6-9M,96
Joggers,9-12M,113
Joggers,12-18M,125
Joggers,18-24M,146
Joggers,2-3Y,166
Joggers,3-4Y,183
Joggers,4-5Y,208
Joggers,5-6Y,221
Joggers,6-7Y,242
Joggers,7-8Y,259
Leggings,9-12M,51
Leggings,12-18M,56
Leggings,18-24M,63
Leggings,2-3Y,69
Leggings,3-4Y,78
Leggings,4-5Y,84
Leggings,5-6Y,87
Leggings,6-7Y,90
Leggings,7-8Y,103
Leggings,8-9Y,105
Leggings,9-10Y,129
Muslin Cap Mitten Booty Set,Standard,38
Muslin Hooded Towel,Standard,125
Muslin Jhabla,0-3M,27
Muslin Jhabla,3-6M,30
Muslin Jhabla Set,0-3M,46
Muslin Jhabla Set,3-6M,51
Muslin Jhabla Set,6-9M,57
Muslin Swaddle,Standard,130
Pant,0-3M,40
Pant,3-6M,44
Pant,6-9M,46
Pant,9-12M,52
Pant,12-18M,56
Pant,18-24M,64
Pant,2-3Y,70
Pant,3-4Y,79
Pant,4-5Y,81
Pant,5-6Y,119
Pant,6-7Y,131
Pant,7-8Y,137
Short,0-3M,34
Short,3-6M,35
Short,6-9M,38
Short,9-12M,42
Short,12-18M,45
Short,18-24M,49
Short,2-3Y,53
Short,3-4Y,58
Short,4-5Y,62
Short,5-6Y,67
Sweatshirt,3-6M,105
Sweatshirt,6-9M,111
Sweatshirt,9-12M,127
Sweatshirt,12-18M,133
Sweatshirt,18-24M,149
Sweatshirt,2-3Y,164
Sweatshirt,3-4Y,173
Sweatshirt,4-5Y,191
Sweatshirt,5-6Y,201
Sweatshirt,6-7Y,217
Sweatshirt,7-8Y,232
Sweatshirt & Joggers Set,3-6M,192
Sweatshirt & Joggers Set,6-9M,207
Sweatshirt & Joggers Set,9-12M,240
Sweatshirt & Joggers Set,12-18M,258
Sweatshirt & Joggers Set,18-24M,295
Sweatshirt & Joggers Set,2-3Y,330
Sweatshirt & Joggers Set,3-4Y,356
Sweatshirt & Joggers Set,4-5Y,399
Sweatshirt & Joggers Set,5-6Y,422
Sweatshirt & Joggers Set,6-7Y,459
Sweatshirt & Joggers Set,7-8Y,491
T-shirt,0-3M,44
T-shirt,3-6M,47
T-shirt,6-9M,52
T-shirt,9-12M,56
T-shirt,12-18M,60
T-shirt,18-24M,65
T-shirt,2-3Y,69
T-shirt,3-4Y,73
T-shirt,4-5Y,77
T-shirt,5-6Y,81
T-shirt,6-7Y,97
T-shirt,7-8Y,106
T-shirt,8-9Y,124
T-shirt,9-10Y,133
T-Shirt & Pant,0-3M,86
T-Shirt & Pant,3-6M,93
T-Shirt & Pant,6-9M,99
T-Shirt & Pant,9-12M,112
T-Shirt & Pant,12-18M,122
T-Shirt & Pant,18-24M,136
T-Shirt & Pant,2-3Y,147
T-Shirt & Pant,3-4Y,160
T-Shirt & Pant,4-5Y,168
T-Shirt & Pant,5-6Y,186
T-Shirt & Short,0-3M,78
T-Shirt & Short,3-6M,82
T-Shirt & Short,6-9M,90
T-Shirt & Short,9-12M,98
T-Shirt & Short,12-18M,105
T-Shirt & Short,18-24M,114
T-Shirt & Short,2-3Y,122
T-Shirt & Short,3-4Y,131
T-Shirt & Short,4-5Y,139
T-Shirt & Short,5-6Y,148
